25-08-17 01:27:39.100 - INFO: Training initialized successfully
25-08-17 01:27:40.070 - INFO: 0001 00000 diff=0.936103, exp_diff=0.936116, Loss_Reg=0.936103, Lambda=0.002, Loss_Rev=8.424999, Loss_All=9.361102, Time=0.9648
25-08-17 01:27:40.518 - INFO: 0001 00001 diff=0.929626, exp_diff=0.929269, Loss_Reg=0.929626, Lambda=0.002, Loss_Rev=8.364489, Loss_All=9.294115, Time=0.4429
25-08-17 01:27:40.964 - INFO: 0001 00002 diff=0.923623, exp_diff=0.923181, Loss_Reg=0.923623, Lambda=0.002, Loss_Rev=8.309790, Loss_All=9.233412, Time=0.4430
25-08-17 01:27:41.410 - INFO: 0002 00000 diff=0.917613, exp_diff=0.916146, Loss_Reg=0.917613, Lambda=0.004, Loss_Rev=8.249586, Loss_All=9.167199, Time=0.4409
25-08-17 01:27:41.853 - INFO: 0002 00001 diff=0.910530, exp_diff=0.909888, Loss_Reg=0.910530, Lambda=0.004, Loss_Rev=8.190753, Loss_All=9.101283, Time=0.4402
25-08-17 01:27:42.297 - INFO: 0002 00002 diff=0.904083, exp_diff=0.903875, Loss_Reg=0.904083, Lambda=0.004, Loss_Rev=8.135489, Loss_All=9.039572, Time=0.4412
25-08-17 01:27:42.743 - INFO: 0003 00000 diff=0.898031, exp_diff=0.897574, Loss_Reg=0.898031, Lambda=0.006, Loss_Rev=8.079463, Loss_All=8.977493, Time=0.4407
25-08-17 01:27:43.187 - INFO: 0003 00001 diff=0.891662, exp_diff=0.891325, Loss_Reg=0.891662, Lambda=0.006, Loss_Rev=8.022934, Loss_All=8.914596, Time=0.4410
25-08-17 01:27:43.630 - INFO: 0003 00002 diff=0.885377, exp_diff=0.886069, Loss_Reg=0.885377, Lambda=0.006, Loss_Rev=7.972402, Loss_All=8.857779, Time=0.4406
25-08-17 01:27:44.076 - INFO: 0004 00000 diff=0.879104, exp_diff=0.879881, Loss_Reg=0.879104, Lambda=0.008, Loss_Rev=7.916520, Loss_All=8.795624, Time=0.4411
25-08-17 01:27:44.522 - INFO: 0004 00001 diff=0.873849, exp_diff=0.872767, Loss_Reg=0.873849, Lambda=0.008, Loss_Rev=7.858101, Loss_All=8.731950, Time=0.4420
25-08-17 01:27:44.967 - INFO: 0004 00002 diff=0.868196, exp_diff=0.866733, Loss_Reg=0.868196, Lambda=0.008, Loss_Rev=7.804942, Loss_All=8.673138, Time=0.4420
25-08-17 01:27:45.414 - INFO: 0005 00000 diff=0.860745, exp_diff=0.860974, Loss_Reg=0.860745, Lambda=0.010, Loss_Rev=7.748070, Loss_All=8.608814, Time=0.4413
25-08-17 01:27:45.859 - INFO: 0005 00001 diff=0.855037, exp_diff=0.854213, Loss_Reg=0.855037, Lambda=0.010, Loss_Rev=7.690357, Loss_All=8.545394, Time=0.4421
25-08-17 01:27:46.303 - INFO: 0005 00002 diff=0.848922, exp_diff=0.848215, Loss_Reg=0.848922, Lambda=0.010, Loss_Rev=7.636047, Loss_All=8.484968, Time=0.4413
25-08-17 01:27:46.754 - INFO: 0006 00000 diff=0.843487, exp_diff=0.842170, Loss_Reg=0.843487, Lambda=0.012, Loss_Rev=7.583405, Loss_All=8.426892, Time=0.4439
25-08-17 01:27:47.198 - INFO: 0006 00001 diff=0.836577, exp_diff=0.839978, Loss_Reg=0.836577, Lambda=0.012, Loss_Rev=7.549438, Loss_All=8.386015, Time=0.4416
25-08-17 01:27:47.643 - INFO: 0006 00002 diff=0.831180, exp_diff=0.835613, Loss_Reg=0.831180, Lambda=0.012, Loss_Rev=7.506696, Loss_All=8.337876, Time=0.4419
25-08-17 01:27:48.090 - INFO: 0007 00000 diff=0.824832, exp_diff=0.824534, Loss_Reg=0.824832, Lambda=0.014, Loss_Rev=7.421647, Loss_All=8.246479, Time=0.4420
25-08-17 01:27:48.536 - INFO: 0007 00001 diff=0.818078, exp_diff=0.818579, Loss_Reg=0.818078, Lambda=0.014, Loss_Rev=7.365630, Loss_All=8.183708, Time=0.4426
25-08-17 01:27:48.980 - INFO: 0007 00002 diff=0.813570, exp_diff=0.815085, Loss_Reg=0.813570, Lambda=0.014, Loss_Rev=7.331131, Loss_All=8.144701, Time=0.4415
25-08-17 01:27:49.428 - INFO: 0008 00000 diff=0.806038, exp_diff=0.805745, Loss_Reg=0.806038, Lambda=0.016, Loss_Rev=7.252525, Loss_All=8.058563, Time=0.4429
25-08-17 01:27:49.874 - INFO: 0008 00001 diff=0.799823, exp_diff=0.800393, Loss_Reg=0.799823, Lambda=0.016, Loss_Rev=7.201822, Loss_All=8.001645, Time=0.4428
25-08-17 01:27:50.319 - INFO: 0008 00002 diff=0.794799, exp_diff=0.794588, Loss_Reg=0.794799, Lambda=0.016, Loss_Rev=7.151915, Loss_All=7.946714, Time=0.4420
25-08-17 01:27:50.766 - INFO: 0009 00000 diff=0.788908, exp_diff=0.788867, Loss_Reg=0.788908, Lambda=0.018, Loss_Rev=7.099914, Loss_All=7.888822, Time=0.4422
25-08-17 01:27:51.211 - INFO: 0009 00001 diff=0.782813, exp_diff=0.782559, Loss_Reg=0.782813, Lambda=0.018, Loss_Rev=7.043756, Loss_All=7.826569, Time=0.4423
25-08-17 01:27:51.657 - INFO: 0009 00002 diff=0.777765, exp_diff=0.777491, Loss_Reg=0.777765, Lambda=0.018, Loss_Rev=6.998158, Loss_All=7.775924, Time=0.4424
25-08-17 01:27:52.105 - INFO: 0010 00000 diff=0.772529, exp_diff=0.771350, Loss_Reg=0.772529, Lambda=0.020, Loss_Rev=6.945608, Loss_All=7.718137, Time=0.4425
25-08-17 01:27:52.550 - INFO: 0010 00001 diff=0.765291, exp_diff=0.766136, Loss_Reg=0.765291, Lambda=0.020, Loss_Rev=6.892583, Loss_All=7.657874, Time=0.4422
25-08-17 01:27:52.996 - INFO: 0010 00002 diff=0.760465, exp_diff=0.760890, Loss_Reg=0.760465, Lambda=0.020, Loss_Rev=6.846631, Loss_All=7.607096, Time=0.4438
25-08-17 01:27:53.443 - INFO: 0011 00000 diff=0.753280, exp_diff=0.759888, Loss_Reg=0.753280, Lambda=0.022, Loss_Rev=6.819018, Loss_All=7.572298, Time=0.4416
25-08-17 01:27:53.887 - INFO: 0011 00001 diff=0.747308, exp_diff=0.746332, Loss_Reg=0.747308, Lambda=0.022, Loss_Rev=6.719871, Loss_All=7.467179, Time=0.4412
25-08-17 01:27:54.331 - INFO: 0011 00002 diff=0.743509, exp_diff=0.740745, Loss_Reg=0.743509, Lambda=0.022, Loss_Rev=6.674938, Loss_All=7.418447, Time=0.4411
25-08-17 01:27:54.778 - INFO: 0012 00000 diff=0.736901, exp_diff=0.735085, Loss_Reg=0.736901, Lambda=0.024, Loss_Rev=6.621142, Loss_All=7.358043, Time=0.4415
